Match_Id,Match_Date,League,Home_Team,Away_Team,Home_Player1,Home_Player2,Home_Player3,Home_Player4,Home_Player5,Home_Player6,Home_Player7,Home_Player8,Home_Player9,Home_Player10,Home_Player11,Away_Player1,Away_Player2,Away_Player3,Away_Player4,Away_Player5,Away_Player6,Away_Player7,Away_Player8,Away_Player9,Away_Player10,Away_Player11,Home_Kit1,Home_Kit2,Home_Kit3,Home_Kit4,Home_Kit5,Home_Kit6,Home_Kit7,Home_Kit8,Home_Kit9,Home_Kit10,Home_Kit11,Away_Kit1,Away_Kit2,Away_Kit3,Away_Kit4,Away_Kit5,Away_Kit6,Away_Kit7,Away_Kit8,Away_Kit9,Away_Kit10,Away_Kit11
8c6293a3,10/23/2023,Premier League,Tottenham Hotspur,Fulham,Guglielmo Vicario,Pierre HÃ¸jbjerg,Son Heung-min,Richarlison,James Maddison,Cristian Romero,Dejan Kulusevski,Pedro Porro,Pape Matar Sarr,Micky van de Ven,Destiny Udogie,Bernd Leno,Calvin Bassey,Tim Ream,Bobby Reid,Andreas Pereira,Willian,Timothy Castagne,JoÃ£o Palhinha,SaÅ¡a LukiÄ‡,Carlos VinÃ­cius,Antonee Robinson,13,5,7,9,10,17,21,23,29,37,38,17,3,13,14,18,20,21,26,28,30,33
7efcc598,10/22/2023,Premier League,Aston Villa,West Ham United,Emiliano MartÃ­nez,Matty Cash,Ezri Konsa,Douglas Luiz,John McGinn,Ollie Watkins,Lucas Digne,Pau Torres,Moussa Diaby,NicolÃ² Zaniolo,Boubacar Kamara,Alphonse Areola,Kurt Zouma,VladimÃ­r Coufal,James Ward-Prowse,Michail Antonio,Lucas PaquetÃ¡,Edson Ãlvarez,Jarrod Bowen,Nayef Aguerd,TomÃ¡Å¡ SouÄek,Emerson Palmieri,1,2,4,6,7,11,12,14,19,22,44,23,4,5,7,9,10,19,20,27,28,33
d95b42eb,10/21/2023,Premier League,Sheffield United,Manchester United,Wes Foderingham,Auston Trusty,Gustavo Hamer,Oliver McBurnie,Cameron Archer,Luke Thomas,Oliver Norwood,Jack Robinson,Jayden Bogle,Vinicius Souza,James Mcatee,AndrÃ© Onana,Victor LindelÃ¶f,Sofyan Amrabat,Harry Maguire,Bruno Fernandes,Marcus Rashford,Rasmus HÃ¸jlund,Diogo Dalot,Antony,Jonny Evans,Scott McTominay,18,5,8,9,10,14,16,19,20,21,28,24,2,4,5,8,10,11,20,21,35,39
a1c336e2,10/21/2023,Premier League,Chelsea,Arsenal,Robert SÃ¡nchez,Marc Cucurella,Thiago Silva,Raheem Sterling,Enzo FernÃ¡ndez,Mykhailo Mudryk,Cole Palmer,Conor Gallagher,MoisÃ©s Caicedo,Levi Colwill,Malo Gusto,David Raya,William Saliba,Ben White,Gabriel Dos Santos,Bukayo Saka,Martin Ã˜degaard,Gabriel Jesus,Gabriel Martinelli,Jorginho,Oleksandr Zinchenko,Declan Rice,1,3,6,7,8,10,20,23,25,26,27,22,2,4,6,7,8,9,11,20,35,41
d1671efa,10/21/2023,Premier League,Nottingham Forest,Luton Town,Matt Turner,Orel Mangala,Ibrahim SangarÃ©,Morgan Gibbs-White,Chris Wood,Harry Toffolo,NicolÃ¡s DomÃ­nguez,Anthony Elanga,Serge Aurier,Willy Boly,Murillo,Thomas Kaminski,Tom Lockyer,Chiedozie Ogbene,Carlton Morris,Marvelous Nakamba,Tahith Chong,Teden Mengi,Reece Burke,Pelly Ruddock Mpanzu,Jacob Brown,Alfie Doughty,1,5,6,10,11,15,16,21,24,30,40,24,4,7,9,13,14,15,16,17,19,45
b782a834,10/21/2023,Premier League,Manchester City,Brighton & Hove Albion,Stefan Ortega,Kyle Walker,John Stones,Erling Haaland,Jeremy Doku,Rodri,JuliÃ¡n Ãlvarez,Bernardo Silva,JoÅ¡ko Gvardiol,Manuel Akanji,Phil Foden,Jason Steele,Igor,Lewis Dunk,James Milner,Solly March,JoÃ£o Pedro,Pascal GroÃŸ,Danny Welbeck,Carlos Baleba,Kaoru Mitoma,Simon Adingra,18,2,5,9,11,16,19,20,24,25,47,23,3,5,6,7,9,13,18,20,22,24
52781f37,10/21/2023,Premier League,Brentford,Burnley,Mark Flekken,Ethan Pinnock,Christian NÃ¸rgaard,Neal Maupay,Mathias Jensen,Yoane Wissa,Frank Onyeka,Bryan Mbeumo,Kristoffer Ajer,Nathan Collins,Vitaly Janelt,James Trafford,Dara O'Shea,Charlie Taylor,Connor Roberts,Sander Berge,Lyle Foster,Josh Cullen,Zeki Amdouni,Ameen Al-Dakhil,Mike TrÃ©sor,Wilson Odobert,1,5,6,7,8,11,15,19,20,22,27,1,2,3,14,16,17,24,25,28,31,47
21625dde,10/21/2023,Premier League,Newcastle United,Crystal Palace,Nick Pope,Kieran Trippier,Fabian SchÃ¤r,Jamaal Lascelles,Joelinton,Callum Wilson,Anthony Gordon,Jacob Murphy,Dan Burn,Sean Longstaff,Bruno GuimarÃ£es,Sam Johnstone,Joel Ward,Tyrick Mitchell,Marc GuÃ©hi,Jefferson Lerma,Jordan Ayew,Jean-Philippe Mateta,Joachim Andersen,Will Hughes,Odsonne Ã‰douard,Cheick DoucourÃ©,22,2,5,6,7,9,10,23,33,36,39,1,2,3,6,8,9,14,16,19,22,28
007b352e,10/21/2023,Premier League,Bournemouth,Wolverhampton Wanderers,Neto,Milos Kerkez,Lewis Cook,Lloyd Kelly,David Brooks,Dominic Solanke,Alex Scott,Marcus Tavernier,Illia Zabarnyi,Philip Billing,Max Aarons,JosÃ© SÃ¡,Matt Doherty,Rayan AÃ¯t Nouri,Boubacar TraorÃ©,Pedro Neto,JoÃ£o Gomes,Hwang Hee-chan,Matheus Cunha,Craig Dawson,Max Kilman,Toti Gomes,1,3,4,5,7,9,14,16,27,29,37,1,2,3,6,7,8,11,12,15,23,24
e747ddb3,10/21/2023,Premier League,Liverpool,Everton,Alisson,Virgil van Dijk,Ibrahima KonatÃ©,Luis DÃ­az,Dominik Szoboszlai,Alexis Mac Allister,Mohamed Salah,Diogo Jota,Kostas Tsimikas,Ryan Gravenberch,Trent Alexander-Arnold,Jordan Pickford,James Tarkowski,Dwight McNeil,Amadou Onana,Dominic Calvert-Lewin,Jack Harrison,Abdoulaye DoucourÃ©,Ashley Young,Vitaliy Mykolenko,Jarrad Branthwaite,James Garner,1,4,5,7,8,10,11,20,21,38,66,1,6,7,8,9,11,16,18,19,32,37
