Match_Date,League,Home_Team,Away_Team,Home_Player1,Home_Player2,Home_Player3,Home_Player4,Home_Player5,Home_Player6,Home_Player7,Home_Player8,Home_Player9,Home_Player10,Home_Player11,Away_Player1,Away_Player2,Away_Player3,Away_Player4,Away_Player5,Away_Player6,Away_Player7,Away_Player8,Away_Player9,Away_Player10,Away_Player11,Home_Kit1,Home_Kit2,Home_Kit3,Home_Kit4,Home_Kit5,Home_Kit6,Home_Kit7,Home_Kit8,Home_Kit9,Home_Kit10,Home_Kit11,Away_Kit1,Away_Kit2,Away_Kit3,Away_Kit4,Away_Kit5,Away_Kit6,Away_Kit7,Away_Kit8,Away_Kit9,Away_Kit10,Away_Kit11
02/12/2023,Premier Leauge,Arsenal,Wolverhampton,David Raya,Ben White,William Saliba,Gabriel,Oleksandr Zinchenko,Martin Oedegaard,Declan Rice,Kai Havertz,Bukayo Saka,Gabriel Jesus,Gabriel Martinelli,Jose Sa,Craig Dawson,Max Kilman,Toti Gomes,Nelson Semedo,J. Bellegarde,Boubacar Traore,Thomas Doyle,Matt Doherty,Hee-Chan Hwang,Matheus Cunha,22,4,2,6,35,8,41,29,7,9,11,1,15,23,24,22,27,6,20,2,11,12
02/12/2023,Premier Leauge,Brentford,Luton,Mark Flekken,K. Vassbakk Ajer,Ethan Pinnock,Ben Mee,Vitaly Janelt,Shandon Baptiste,Christian Noergaard,Frank Onyeka,Bryan Mbeumo,Neal Maupay,Yoane Wissa,Thomas Kaminski,Teden Mengi,Tom Lockyer,Gabriel Osho,Alfie Doughty,Ross Barkley,Pelly-Ruddock Mpanzu,Amari'i Bell,Andros Townsend,Carlton Morris,Chiedozie Ogbene,1,20,5,16,27,26,6,15,19,7,11,24,15,4,2,45,6,17,29,30,9,7
02/12/2023,Premier Leauge,Burnley,Sheffield Utd,James Trafford,Vitinho,Dara O'Shea,Jordan Beyer,Charlie Taylor,J. Berg Gudmundsson,Sander Berge,Josh Brownhill,Luca Koleosho,Jay Rodriguez,Zeki Amdouni,Wesley Foderingham,George Baldock,Jack Robinson,Auston Trusty,Jayden Bogle,Luke Thomas,V. de Souza,Oliver Norwood,Cameron Archer,Gustavo Hamer,Oliver McBurnie,1,22,2,5,3,7,16,8,30,9,25,18,2,19,5,20,14,21,16,10,8,9
03/12/2023,Premier Leauge,Nott\u2019m Forest,Everton,Odisseas Vlachodimos,Ola Aina,Moussa Niakhate,Willy Boly,Harry Toffolo,Danilo,Orel Mangala,Nicolas Dominguez,Morgan Gibbs-White,Chris Wood,Anthony Elanga,Jordan Pickford,Ashley Young,James Tarkowski,Jarrad Branthwaite,Vitalii Mykolenko,Jack Harrison,James Garner,Idrissa Gana Gueye,Dwight McNeil,Abdoulaye Doucoure,Beto,23,43,19,30,15,28,5,16,10,11,21,1,18,6,32,19,11,37,27,7,16,14
03/12/2023,Premier Leauge,Newcastle,Man United,Nick Pope,Kieran Trippier,Jamaal Lascelles,Fabian Schaer,Valentino Livramento,Lewis Miley,Bruno Guimaraes,Joelinton,Miguel Almiron,Alexander Isak,Anthony Gordon,Andre Onana,Aaron Wan-Bissaka,Harry Maguire,V. Nilsson Lindeloef,Luke Shaw,Scott McTominay,Kobbie Mainoo,Marcus Rashford,Bruno Fernandes,Alejandro Garnacho,Rasmus Hoejlund,22,2,6,5,21,67,39,7,24,14,10,24,29,5,2,23,39,37,10,8,17,11
03/12/2023,Premier Leauge,Bournemouth,Aston Villa,Neto,Adam Smith,Illia Zabarnyi,Marcos Senesi,Milos Kerkez,Ryan Christie,Lewis Cook,Antoine Semenyo,Justin Kluivert,Marcus Tavernier,Dominic Solanke,Emiliano Martinez,Ezri Konsa,Diego Carlos,Pau Torres,Lucas Digne,Leon Bailey,John McGinn,Douglas Luiz,Youri Tielemans,Moussa Diaby,Ollie Watkins,1,15,27,25,3,10,4,24,19,16,9,1,4,3,14,12,31,7,6,8,19,11
03/12/2023,Premier Leauge,Chelsea,Brighton,Robert Sanchez,Axel Disasi,Thiago Silva,Benoit Badiashile,Levi Colwill,Moises Caicedo,Enzo Fernandez,Cole Palmer,Conor Gallagher,Raheem Sterling,Nicolas Jackson,Bart Verbruggen,Joel Veltman,Jan Paul van Hecke,Igor,Jack Hinshelwood,Pascal Gross,Billy Gilmour,Simon Adingra,Joao Pedro,Kaoru Mitoma,Evan Ferguson,1,2,6,5,26,25,8,20,23,7,15,1,34,29,3,41,13,11,24,9,22,28
03/12/2023,Premier Leauge,Liverpool,Fulham,Caoimhin Kelleher,T. Alexander-Arnold,Joel Matip,Virgil van Dijk,K. Tsimikas,Dominik Szoboszlai,Alexis Mac Allister,Curtis Jones,Mohamed Salah,Darwin Nunez,Luis Diaz,Bernd Leno,Timothy Castagne,Calvin Bassey,Tim Ream,Antonee Robinson,Joao Palhinha,Harrison Reed,Bobby Reid,Alex Iwobi,Willian,Raul Jimenez,62,66,32,4,21,8,10,17,11,9,7,17,21,3,13,33,26,6,14,22,20,7
03/12/2023,Premier Leauge,West Ham,Crystal Palace,Alphonse Areola,Vladimir Coufal,Kurt Zouma,Nayef Aguerd,Emerson,Edson Alvarez,James Ward-Prowse,Mohammed Kudus,Tomas Soucek,Lucas Paqueta,Danny Ings,Sam Johnstone,Joel Ward,Joachim Andersen,Marc Guehi,Tyrick Mitchell,Will Hughes,Jefferson Lerma,Michael Olise,Jeffrey Schlupp,Jordan Ayew,Odsonne Edouard,23,5,4,27,33,19,7,14,28,10,18,1,2,16,6,3,19,8,7,15,9,22
03/12/2023,Premier Leauge,Man City,Tottenham,Ederson Moraes,Kyle Walker,Ruben Dias,Nathan Ake,Manuel Akanji,Rodri,Phil Foden,Julian Alvarez,Bernardo Silva,Jeremy Doku,Erling Haaland,Guglielmo Vicario,Pedro Porro,Emerson Royal,Ben Davies,Iyenoma Udogie,Yves Bissouma,Giovani Lo Celso,Brennan Johnson,Dejan Kulusevski,Bryan Gil,Heung-Min Son,31,2,3,6,25,16,47,19,20,11,9,13,23,12,33,38,8,18,22,21,11,7
