Match_Id,Match_Date,Home_Team,Home_Manager,Home_Captain,Home_Formation,Home_Possession,Home_Fouls,Home_Corners,Home_Crosses,Home_Aerials_Won,Home_Clearances,Home_Offsides,Home_Goal_Kicks,Home_Throw_Ins,Home_Long_Balls,Home_Total_Players_Stats,Home_Minutes,Home_Gls,Home_Ast,Home_PK,Home_PK_Att,Home_Sh,Home_SoT,Home_CrdY,Home_CrdR,Home_Touches,Home_Tkl,Home_Int,Home_Blocks,Home_xG,Home_npxG,Home_xAG,Home_SCA,Home_GCA,Home_Cmp_Passes,Home_Att_Passes,Home_Cmp_percent_Passes,Home_PrgP_Passes,Home_Carries_Carries,Home_PrgC_Carries,Home_Att_Take_Ons,Home_Succ_Take_Ons,Away_Team,Away_Manager,Away_Captain,Away_Formation,Away_Possession,Away_Fouls,Away_Corners,Away_Crosses,Away_Aerials_Won,Away_Clearances,Away_Offsides,Away_Goal_Kicks,Away_Throw_Ins,Away_Long_Balls,Away_Total_Players_Stats,Away_Minutes,Away_Gls,Away_Ast,Away_PK,Away_PK_Att,Away_Sh,Away_SoT,Away_CrdY,Away_CrdR,Away_Touches,Away_Tkl,Away_Int,Away_Blocks,Away_xG,Away_npxG,Away_xAG,Away_SCA,Away_GCA,Away_Cmp_Passes,Away_Att_Passes,Away_Cmp_percent_Passes,Away_PrgP_Passes,Away_Carries_Carries,Away_PrgC_Carries,Away_Att_Take_Ons,Away_Succ_Take_Ons,Home_Attack,Home_Midfield,Home_Defense,Away_Attack,Away_Midfield,Away_Defense,Home_Score,Away_Score,Result
8c6293a3,10/23/2023,Tottenham Hotspur,,,4231,65,9,8.5,21,11.5,22,4,6.5,24.5,40.5,16,967,1,1,0,0,19.5,6,4,0.5,790,21.5,10,14.5,2.1,2.1,1.7,35.5,2,565.5,660.5,85.45,71.5,483,24.5,26,9,Fulham,,,4231,58,11.5,8.5,25.5,14.5,9,2,2.5,25,75,15.5,990,1,0.5,0,0,15,4.5,1,0,708,20,12.5,11.5,1.65,1.65,1.4,25,2,487.5,599,81.25,47,434.5,27.5,15,8.5,78.90909091,79.63636364,77,74.4,76.58823529,74.875,,,Win
7efcc598,10/22/2023,Aston Villa,,,442,46,14,5.5,18.5,5.5,11,0.5,6.5,18.5,52.5,14,990,3,2.5,0,0,18.5,6.5,3,0,493,14,7.5,11,1.6,1.6,1.25,31.5,5.5,311,397,78.25,34,275.5,13.5,16.5,4.5,West Ham United,,,4231,44,8.5,5.5,17,16,14,2,10,14.5,69,14,990,2,2,0,0,12.5,5.5,2,0,535,13.5,7.5,16,1.7,1.7,1.45,23.5,4,348,443,77.2,33.5,345.5,20,11.5,7.5,72.71428571,77.94444444,78.33333333,74,78.91666667,77.8,,,Win
e747ddb3,10/21/2023,Liverpool,,,433,45,18.5,3,9.5,7.5,21.5,0.5,4,18,57.5,15,946.5,1.5,1,0.5,0.5,12.5,3.5,4,1,581,18.5,8.5,16,1.8,1.45,1.35,25,3,382.5,465,81.7,33.5,353,15,17.5,7,Everton,,,4411,57.5,11,5.5,28.5,26.5,17,2,8,30,89,14.5,990,2,0.5,0,0,24,6,0.5,0,695.5,25.5,5,18.5,3.1,3.1,1.85,41,2,417,546,76.1,40,358.5,21,25,11,82.8,80.84615385,79.125,74.8,75.2,74.69230769,,,Lose
007b352e,10/21/2023,Bournemouth,,,4231,47.5,13,6.5,16.5,11,17.5,1,7.5,20.5,64.5,16,990,0,0,0,0,9.5,2,1,0,582.5,18,7.5,14,0.65,0.65,0.55,18,0,361,457,79,31.5,341,22.5,27,13,Wolverhampton Wanderers,,,343,39.5,18.5,1,8,7.5,27,2.5,8,11.5,54.5,15,989.5,1,1,0,0,5.5,2,4.5,0.5,450,12.5,7.5,16.5,1.05,1.05,1,9.5,2,261.5,344.5,75.8,16,271.5,16,16,9,73.2,74.29411765,73.875,73.85714286,72.35714286,75.5,,,Win
21625dde,10/21/2023,Newcastle United,,,433,58.5,12.5,3.5,15.5,17,14.5,1,3,18.5,59.5,14.5,990,2,1,0.5,0.5,14.5,4.5,2,0,694.5,14.5,3.5,14.5,2.6,2.2,1.4,27,3,497,599,82.7,41.5,351.5,19,15,7.5,Crystal Palace,,,433,37.5,7.5,3.5,11.5,11.5,30.5,0,8,14.5,53,13,990,0.5,0,0,0,8,2,1,0,538.5,22,11.5,13,0.85,0.85,0.75,14.5,1,324.5,404.5,76.5,27,276.5,13,20,9.5,78.1,80.88888889,75.27272727,72.83333333,71.33333333,76.85714286,,,Win
52781f37,10/21/2023,Brentford,,,433,47.5,13.5,8,18.5,17,27.5,0.5,7.5,19.5,63,15,990,1,1,0,0,14.5,3,3.5,0,607,14.5,13,10.5,1.35,1.35,1.1,24.5,1,388.5,494,77.1,36,348,19,10,5,Burnley,,,4231,44.5,8.5,6.5,10.5,16.5,24,3.5,8.5,20.5,75.5,15.5,990,1.5,1.5,0,0,12,3.5,2,0,559,19.5,5.5,10.5,0.95,0.95,0.8,21,3,333,442,75.45,18.5,306.5,15,23.5,8,69.625,70.92307692,74,72.125,73.44444444,72.88888889,,,Win
b782a834,10/21/2023,Manchester City,,,3241,59.5,9.5,5,15.5,5,11.5,0,4,19,44.5,14,990,0.5,0,0,0,13.5,4,3.5,0,685,18.5,4.5,8.5,0.7,0.7,0.55,24,1,512.5,597,85.8,48,439.5,27.5,19,10,Brighton & Hove Albion,,,4231,53.5,16.5,5.5,12,6.5,13.5,3.5,2.5,15,43.5,15,990,1.5,1,0,0,12.5,3,2.5,0,605,18,10.5,12.5,2,2,1.5,24,2.5,428,502,85.1,33,386,18,25,11.5,81.7,80.8,80.8,75.33333333,74.46666667,77.125,,,Draw
d1671efa,10/21/2023,Nottingham Forest,,,433,44.5,9,4,15,14,31.5,2,8.5,16.5,64.5,16,972.5,0.5,0.5,0,0,11,3,2,0.5,596.5,18.5,7.5,14,0.8,0.8,0.6,19,1,390,482.5,80.5,30,316,14,16.5,9,Luton Town,,,442,41.5,15,6,28.5,22,21,3.5,10,25,93.5,15,990,0.5,0.5,0,0,15,2,3,0,501.5,20,10,15,1.05,1.05,0.75,26.5,1,243.5,371.5,65.25,29,203.5,15,17.5,8.5,74,74.84615385,74.42857143,70.28571429,72.2,71.72727273,,,Win
a1c336e2,10/21/2023,Chelsea,,,4231,53,10,2,8.5,8.5,19,3,1.5,17.5,49.5,15,990,2.5,1.5,0.5,0.5,9.5,4,4,0,705.5,23,8.5,11.5,1.8,1.4,1.05,16,4.5,524,595.5,87.45,31.5,447.5,19,20,8,Arsenal,,,433,53,9,5.5,7.5,7,11.5,1,3.5,14.5,47.5,15.5,990,2.5,1,1,1,12.5,4,1.5,0,662,24,9,16.5,1.95,1.15,0.7,25.5,4.5,474.5,549.5,86.35,32.5,435.5,16.5,18.5,8.5,75.55555556,77.92307692,77.25,79.76923077,83.07692308,79.625,,,Draw
d95b42eb,10/21/2023,Sheffield United,,,442,44,9.5,4,14.5,16.5,28,2,9,21,73.5,15.5,990,0,0,0,0,10.5,2,1.5,0,552.5,17,6,18.5,0.85,0.85,0.5,18,0,328.5,437.5,74.2,33.5,242,8,15.5,6.5,Manchester United,,,4231,70.5,10,8.5,34.5,11.5,11,3,4,32,66.5,16,990,1,0.5,0,0,20,5.5,1.5,0,824,18,7,8,1.35,1.35,1.15,37,1.5,608,721.5,84.15,76,527.5,27,20,10.5,69.4,71.61538462,69.18181818,75.83333333,79.58823529,79.8,,,Win
