Match_Id,Team,Minute,Player_Name,Type_Of_Goal,Is_Home_Team
db4d7668,Watford,46,Gerard Deulofeu,Normal,Yes
db4d7668,Watford,48,José Holebas,Normal,Yes
db4d7668,West Ham United,15,Mark Noble,Normal,No
db4d7668,West Ham United,39,Manuel Lanzini,Normal,No
db4d7668,West Ham United,71,Marko Arnautović,Normal,No
db4d7668,West Ham United,78,Mark Noble,Penalty,No
d4360fcd,Burnley,44,Chris Wood,Normal,Yes
d4360fcd,Brighton & Hove Albion,20,Yves Bissouma,Normal,No
d4360fcd,Brighton & Hove Albion,50,Aaron Connolly,Normal,No
b6b1209d,Newcastle United,1,Dwight Gayle,Normal,Yes
b6b1209d,Liverpool,38,Virgil van Dijk,Normal,No
b6b1209d,Liverpool,59,Divock Origi,Normal,No
b6b1209d,Liverpool,89,Sadio Mané,Normal,No
a3f59c8e,West Ham United,85,Andriy Yarmolenko,Normal,Yes
a3f59c8e,Aston Villa,84,Jack Grealish,Normal,No
9cca4ba0,Chelsea,,Mason Mount,Normal,Yes
9cca4ba0,Chelsea,,Olivier Giroud,Normal,Yes
9099d1e5,Manchester City,11,Gabriel Jesus,Normal,Yes
9099d1e5,Manchester City,,Kevin De Bruyne,Normal,Yes
9099d1e5,Manchester City,79,Raheem Sterling,Normal,Yes
9099d1e5,Manchester City,83,Riyad Mahrez,Normal,Yes
9099d1e5,Manchester City,90,Kevin De Bruyne,Normal,Yes
61616d45,Crystal Palace,53,Jeffrey Schlupp,Normal,Yes
61616d45,Tottenham Hotspur,13,Harry Kane,Normal,No
5ecaeb4b,Arsenal,5,Pierre-Emerick Aubameyang,Penalty,Yes
5ecaeb4b,Arsenal,24,Kieran Tierney,Normal,Yes
5ecaeb4b,Arsenal,33,Pierre-Emerick Aubameyang,Normal,Yes
5ecaeb4b,Watford,43,Troy Deeney,Penalty,No
5ecaeb4b,Watford,66,Danny Welbeck,Normal,No
3e5b45b7,Southampton,50,Che Adams,Normal,Yes
3e5b45b7,Southampton,71,Che Adams,Normal,Yes
3e5b45b7,Southampton,84,Danny Ings,Penalty,Yes
3e5b45b7,Sheffield United,26,John Lundstram,Normal,No
3873cc78,Leicester City,,Jonny Evans,Normal,Yes
3873cc78,Manchester United,71,Bruno Fernandes,Penalty,No
3873cc78,Manchester United,,Jesse Lingard,Normal,No
2a3b8f05,Everton,41,Moise Kean,Normal,Yes
2a3b8f05,Bournemouth,13,Joshua King,Penalty,No
2a3b8f05,Bournemouth,,Dominic Solanke,Normal,No
2a3b8f05,Bournemouth,80,Junior Stanislas,Normal,No
a80ba6fe,Liverpool,23,Naby Keïta,Normal,Yes
a80ba6fe,Liverpool,38,Trent Alexander-Arnold,Normal,Yes
a80ba6fe,Liverpool,43,Georginio Wijnaldum,Normal,Yes
a80ba6fe,Liverpool,54,Roberto Firmino,Normal,Yes
a80ba6fe,Liverpool,84,Alex Oxlade-Chamberlain,Normal,Yes
a80ba6fe,Chelsea,,Olivier Giroud,Normal,No
a80ba6fe,Chelsea,61,Tammy Abraham,Normal,No
a80ba6fe,Chelsea,73,Christian Pulisic,Normal,No
bf25e016,Manchester United,51,Mason Greenwood,Normal,Yes
bf25e016,West Ham United,,Michail Antonio,Penalty,No
ca0b21bc,Aston Villa,27,Trézéguet,Normal,Yes
9979847f,Manchester City,31,Raheem Sterling,Normal,No
9979847f,Manchester City,40,Raheem Sterling,Normal,No
9979847f,Manchester City,63,Phil Foden,Normal,No
9979847f,Manchester City,66,Aymeric Laporte,Normal,No
70598e52,Wolverhampton Wanderers,41,Daniel Podence,Normal,Yes
70598e52,Wolverhampton Wanderers,68,Jonny Castro,Normal,Yes
d2e788d0,Everton,46,Richarlison,Normal,No
d4ce66f6,Tottenham Hotspur,6,James Justin,Own Goal,Yes
d4ce66f6,Tottenham Hotspur,37,Harry Kane,Normal,Yes
d4ce66f6,Tottenham Hotspur,40,Harry Kane,Normal,Yes
bbd4160f,Southampton,41,Danny Ings,Normal,No
bbd4160f,Southampton,,Che Adams,Normal,No
9594e0b4,Norwich City,35,Emi Buendía,Normal,Yes
9594e0b4,Norwich City,,Josip Drmić,Normal,Yes
9594e0b4,Burnley,,Chris Wood,Normal,No
9594e0b4,Burnley,80,Ben Godfrey,Own Goal,No
249bbdaa,West Ham United,6,Michail Antonio,Normal,Yes
249bbdaa,West Ham United,10,Tomáš Souček,Normal,Yes
249bbdaa,West Ham United,36,Declan Rice,Normal,Yes
249bbdaa,Watford,49,Troy Deeney,Normal,No
793f900e,Southampton,66,Danny Ings,Normal,Yes
793f900e,Brighton & Hove Albion,17,Neal Maupay,Normal,No
69a16f9d,Manchester United,,Marcus Rashford,Normal,No
69a16f9d,Manchester United,78,Anthony Martial,Normal,No
f855bc55,Everton,87,Theo Walcott,Normal,Yes
f855bc55,Aston Villa,72,Ezri Konsa,Normal,No
0903cee0,Leicester City,29,Ayoze Pérez,Normal,Yes
0903cee0,Leicester City,79,Demarai Gray,Normal,Yes
12f95828,Arsenal,32,Alexandre Lacazette,Normal,Yes
12f95828,Arsenal,44,Reiss Nelson,Normal,Yes
12f95828,Liverpool,20,Sadio Mané,Normal,No
eff6988f,Manchester City,6,David Silva,Normal,Yes
eff6988f,Manchester City,39,Gabriel Jesus,Normal,Yes
eff6988f,Bournemouth,88,David Brooks,Normal,No
a7c5d31f,Burnley,,Chris Wood,Penalty,Yes
a7c5d31f,Wolverhampton Wanderers,76,Raúl Jiménez,Normal,No
21cbea56,Newcastle United,56,Matt Ritchie,Normal,Yes
21cbea56,Tottenham Hotspur,27,Son Heung-min,Normal,No
21cbea56,Tottenham Hotspur,60,Harry Kane,Normal,No
21cbea56,Tottenham Hotspur,90,Harry Kane,Normal,No
88d08b7b,Chelsea,,Olivier Giroud,Normal,Yes
668c9423,Manchester United,20,Marcus Rashford,Normal,Yes
668c9423,Manchester United,23,Anthony Martial,Normal,Yes
668c9423,Southampton,12,Stuart Armstrong,Normal,No
668c9423,Southampton,,Michael Obafemi,Normal,No
d2adf574,Bournemouth,66,Junior Stanislas,Penalty,Yes
d2adf574,Bournemouth,67,Dominic Solanke,Normal,Yes
d2adf574,Bournemouth,83,Jonny Evans,Own Goal,Yes
d2adf574,Bournemouth,87,Dominic Solanke,Normal,Yes
d2adf574,Leicester City,23,Jamie Vardy,Normal,No
d2adf574,Leicester City,67,Çağlar Söyüncü,Normal,No
